X,Y,TOWN_NO,TOWN,TOTAL_SQMI,LAND_SQMI,WATER_SQMI,COUNTY,PLAN_ORG,DEP_DIST,COAST_AREA
-72.8409440624095,41.7288400459629,"52",Farmington,28.70,28.40,0.30,Hartford,Capitol Region,DEP Western District,
-71.8987162860066,41.6991630320256,"109",Plainfield,42.70,42.50,0.20,Windham,Northeastern Conn,DEP Eastern District,
-72.3761079827343,41.7331340876676,"1",Andover,15.60,15.30,0.30,Tolland,Capitol Region,DEP Eastern District,
-71.9997518338538,41.6979134376857,"22",Canterbury,40.00,40.00,0.00,Windham,Northeastern Conn,DEP Eastern District,
-72.1668123714238,41.7098093290534,"163",Windham,28.00,27.90,0.10,Windham,Windham,DEP Eastern District,
-72.0880322531898,41.6979385189305,"123",Scotland,18.30,18.30,0.00,Windham,Windham,DEP Eastern District,
-72.5471809420126,41.6920472679109,"54",Glastonbury,52.50,51.70,0.80,Hartford,Capitol Region,DEP Eastern District,
-72.3069772480909,41.6939232200983,"30",Columbia,21.80,21.20,0.60,Tolland,Windham,DEP Eastern District,
-72.3903209065753,41.6593678680616,"67",Hebron,37.50,37.30,0.20,Tolland,Capitol Region,DEP Eastern District,
-72.6703646023617,41.7011868652194,"159",Wethersfield,13.00,12.50,0.50,Hartford,Capitol Region,DEP Western District,
-72.7309184896193,41.6869861343088,"94",Newington,13.20,13.20,0.00,Hartford,Capitol Region,DEP Western District,
-72.9406338211413,41.6810808569771,"17",Bristol,26.60,26.40,0.20,Hartford,Central Connecticut,DEP Western District,
-73.2079925872203,41.6897975797642,"87",Morris,18.80,17.20,1.60,Litchfield,Litchfield Hills,DEP Western District,
-72.7859315625518,41.6760020842678,"89",New Britain,13.30,13.30,0.00,Hartford,Central Connecticut,DEP Western District,
-72.2401323290683,41.6313840169409,"71",Lebanon,56.10,55.10,1.00,New London,Windham,DEP Eastern District,
-73.0262780011343,41.6641584144003,"111",Plymouth,22.40,22.20,0.20,Litchfield,Central Connecticut,DEP Western District,
-73.3145407099993,41.6522912170332,"150",Washington,38.70,38.10,0.60,Litchfield,Northwestern Conn,DEP Western District,
-73.0858876745003,41.6697057889872,"140",Thomaston,12.00,12.00,0.00,Litchfield,Central Naug Valley,DEP Western District,
-72.8571304957605,41.6741474165885,"110",Plainville,9.90,9.90,0.00,Hartford,Central Connecticut,DEP Western District,
-72.4544996759191,41.6326835770749,"79",Marlborough,23.50,23.40,0.10,Hartford,Capitol Region,DEP Eastern District,
-72.6632873641259,41.6571099624868,"119",Rocky Hill,13.90,13.60,0.30,Hartford,Capitol Region,DEP Western District,
-73.4215781633603,41.6040901099685,"96",New Milford,64.40,62.80,1.60,Litchfield,Housatonic Valley,DEP Western District,
-73.1177301876986,41.616015824789,"153",Watertown,29.80,29.50,0.30,Litchfield,Central Naug Valley,DEP Western District,
-73.2113934154445,41.6374955633252,"10",Bethlehem,19.70,19.60,0.10,Litchfield,Central Naug Valley,DEP Western District,
